Year,District,Coffee_yield
2076,ARGHAKHACHI,226
2076,BAGLUNG,231
2076,BHOJPUR,118
2076,DHANKUTA,103
2076,DHADING,173
2076,GORKHA,138
2076,GULMI,208
2076,ILAM,220
2076,KASKI,226
2076,KAVRE,156
2076,KHOTANG,190
2076,LALITPUR,191
2076,LAMJUNG,115
2076,MAKAWANPUR,258
2076,MYAGDI,265
2076,NUWAKOT,207
2076,PALPA,264
2076,PANCHTHAR,106
2076,PARBAT,265
2076,PYUTHAN,258
2076,RASUWA,261
2076,SANKHUWASABHA,182
2076,SALYAN,33
2076,SINDHUPALCHOK,179
2076,SYANGJA,142
2076,TANAHU,216
