Year,District,barley_yield,maize_yield,buckwheat_yield,millet_yield,wheat_yield,paddy_yield,potato_yield,coffee_yield,tea_yield,lentil_yield,chickpeas_yield,pigeon-peas_yield,jute_yield,cotton_yield
2078,LAMJUNG,1.46000,2.10000,0.88000,1.09000,2.45000,3.37000,11.07000,0.08570,0.01780,0.83000,1.00000,1.00000,0.00000,0.00000
2078,TANAHU,1.03000,3.32000,0.94000,1.00000,2.36000,3.94000,15.17000,0.13890,0.00000,1.05000,1.00000,0.92000,0.00000,0.00000
2078,KASKI,1.61000,2.71000,1.11000,1.35000,2.52000,3.83000,25.88000,0.11800,0.09590,2.00000,2.00000,1.00000,0.00000,0.00000
2078,PARBAT,1.30000,2.50000,0.95000,1.00000,2.56000,3.27000,16.05000,0.11380,0.00000,1.10000,1.00000,0.90000,0.00000,0.00000
2078,SYANGJA,1.65000,3.74000,0.94000,1.26000,2.84000,4.08000,14.42000,0.05310,0.00000,0.90000,1.10000,0.86000,0.00000,0.00000
2078,MYAGDI,1.33000,3.50000,0.93000,1.31000,3.36000,3.28000,15.85000,0.08700,0.00000,1.05000,0.00000,1.38000,0.00000,0.00000
2078,BAGLUNG,1.76000,3.31000,1.33000,1.26000,2.51000,3.20000,14.98000,0.02630,0.00670,1.04000,1.25000,0.80000,0.00000,0.00000
2078,NAWALPARASI EAST,1.25000,2.77000,0.93000,1.13000,2.51000,4.08000,17.04000,0.00000,0.00000,1.39000,1.20000,0.52000,0.00000,0.00000
2078,PALPA,1.67000,2.62000,1.17000,1.18000,2.53000,3.55000,15.69000,0.15950,0.00000,1.08000,1.10000,0.82000,0.00000,0.00000
2078,GULMI,1.75000,2.75000,1.74000,1.13000,2.92000,3.10000,17.71000,0.11690,0.00000,0.97000,1.21000,1.75000,0.00000,0.00000
2078,ARGHAKHANCHI,1.92000,3.22000,1.20000,1.13000,2.77000,3.32000,12.40000,0.00000,0.00000,0.87000,0.90000,0.00000,0.00000,0.00000
2078,NAWALPARASI WEST,1.23000,2.38000,1.20000,1.04000,2.87000,4.47000,12.87000,0.00000,0.00000,1.22000,1.19000,0.51000,0.00000,0.00000
2078,RUPANDEHI,1.96000,3.40000,1.20000,1.14000,3.95000,4.24000,16.25000,0.00000,0.00000,1.43000,1.17000,1.01000,0.00000,0.00000
2078,KAPILBASTU,1.87000,3.86000,1.04000,0.00000,3.71000,3.65000,13.05000,0.00000,0.00000,1.05000,0.91000,1.28000,0.00000,0.00000
2078,DANG,1.23000,3.21000,1.04000,1.06000,3.20000,4.05000,14.30000,0.00000,0.00000,1.11000,1.23000,1.01000,0.00000,1.01000
2078,BANKE,1.37000,2.88000,1.38000,0.00000,3.34000,3.51000,16.88000,0.00000,0.00000,1.37000,1.00000,1.07000,0.00000,1.00000
2078,BARDIYA,1.50000,3.03000,1.50000,0.00000,3.79000,4.67000,15.87000,0.00000,0.00000,1.09000,0.85000,0.70000,0.00000,0.00000
2078,RUKUM EAST,1.28000,2.36000,1.16000,1.28000,2.81000,3.01000,19.53000,0.40000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2078,PYUTHAN,1.63000,2.55000,1.63000,1.23000,3.14000,3.08000,15.28000,0.11670,0.00000,1.08000,1.32000,0.00000,0.00000,0.00000
2078,ROLPA,1.19000,2.69000,1.14000,1.15000,2.95000,2.89000,16.30000,0.10000,0.00000,0.95000,1.12000,0.00000,0.00000,0.00000
2078,DOLPA,1.03000,1.59000,1.24000,1.11000,1.34000,1.99000,15.82000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2078,MUGU,1.10000,1.73000,1.12000,0.98000,1.61000,1.71000,17.71000,0.00000,0.00000,0.00000,0.00000,0.79000,0.00000,1.44000
2078,HUMLA,1.26000,1.84000,1.11000,1.08000,1.42000,1.67000,18.22000,0.00000,0.00000,0.82000,0.00000,0.00000,0.00000,0.00000
2078,JUMLA,1.54000,1.60000,1.09000,1.07000,2.30000,2.14000,14.49000,0.00000,0.00000,1.52000,0.00000,0.00000,0.00000,0.00000
2078,KALIKOT,1.58000,2.37000,1.15000,1.10000,1.52000,2.51000,16.78000,0.00000,0.00000,0.90000,1.11000,1.00000,0.00000,0.00000
2078,RUKUM WEST,1.25000,3.04000,1.29000,1.36000,1.68000,2.82000,18.15000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2078,SALYAN,1.70000,2.83000,1.12000,1.18000,2.72000,4.06000,19.32000,0.10000,0.00000,0.82000,1.07000,1.29000,0.00000,0.00000
2078,JAJARKOT,1.14000,3.18000,1.53000,1.03000,2.50000,3.52000,19.17000,0.26670,0.00000,0.89000,0.94000,0.00000,0.00000,0.00000
2078,DAILEKH,1.25000,2.44000,0.94000,1.07000,2.34000,3.29000,17.39000,0.20000,0.00000,0.86000,0.70000,0.00000,0.00000,0.00000
2078,SURKHET,1.58000,3.10000,1.52000,1.35000,3.39000,4.18000,17.79000,0.04290,0.00000,0.95000,0.95000,0.00000,0.00000,0.00000
2078,BAJURA,1.26000,1.64000,0.79000,1.02000,1.59000,2.65000,15.43000,0.00000,0.00000,0.41000,1.00000,0.50000,0.00000,0.00000
2078,BAJHANG,1.06000,1.43000,0.78000,0.81000,2.09000,2.66000,15.36000,0.00000,0.00000,0.70000,0.51000,0.68000,0.00000,0.00000
2078,DARCHULA,0.84000,3.17000,1.03000,0.94000,1.56000,2.65000,17.68000,0.00000,0.00000,1.00000,0.94000,1.00000,0.00000,0.00000
2078,ACHHAM,1.27000,2.94000,0.95000,1.04000,1.57000,2.67000,15.28000,0.00000,0.00000,0.81000,0.67000,1.20000,0.00000,0.00000
2078,DOTI,1.51000,2.58000,1.27000,1.20000,2.02000,2.56000,15.00000,0.00000,0.00000,0.90000,1.01000,1.02000,0.00000,0.00000
2078,BAITADI,0.91000,2.44000,0.53000,1.15000,1.62000,2.45000,17.54000,0.00000,0.00000,0.75000,1.00000,0.00000,0.00000,0.00000
2078,DADELDHURA,1.37000,3.23000,0.73000,1.26000,2.45000,3.46000,16.28000,0.00000,0.00000,1.41000,0.00000,0.00000,0.00000,0.00000
2078,KAILALI,1.56000,3.27000,0.89000,1.13000,3.57000,4.35000,16.57000,0.05000,0.00000,1.35000,1.11000,1.60000,0.00000,0.00000
2078,KANCHANPUR,1.50000,2.74000,0.80000,0.00000,3.14000,3.84000,18.20000,0.00000,0.00000,1.31000,1.23000,0.00000,0.00000,0.00000
2076,TAPLEJUNG,1.37000,3.43000,1.40000,1.40000,1.87000,2.67000,13.38000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2076,SANKHUWASABHA,1.13000,1.94000,1.03000,1.27000,2.25000,2.68000,13.12000,0.18200,0.14050,1.27000,0.92000,0.00000,0.00000,0.00000
2076,SOLUKHUMBU,1.08000,2.42000,0.90000,1.37000,1.91000,2.64000,16.24000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2076,PANCHTHAR,1.34000,1.98000,0.73000,1.91000,2.43000,2.61000,18.17000,0.10600,0.00000,1.14000,0.67000,1.00000,0.00000,0.00000
2076,ILLAM,1.26000,3.68000,1.19000,1.17000,3.27000,2.96000,20.19000,0.00000,0.00000,1.08000,0.64000,0.71000,0.00000,0.00000
2076,TERHATHUM,1.16000,2.41000,0.96000,1.14000,1.98000,2.45000,14.13000,0.00000,0.00000,1.02000,0.00000,1.00000,0.00000,0.00000
2076,DHANKUTA,0.00000,3.09000,0.83000,1.21000,2.15000,3.45000,19.58000,0.10300,0.19400,1.11000,1.17000,1.00000,0.00000,0.00000
2076,BHOJPUR,1.20000,2.64000,0.86000,1.26000,2.11000,2.36000,13.32000,0.11800,1.97000,0.92000,0.00000,0.00000,0.00000,0.00000
2076,KHOTANG,1.37000,2.21000,0.94000,1.11000,2.43000,2.81000,13.45000,0.19000,0.00000,1.11000,0.00000,0.00000,0.00000,0.00000
2076,OKHALDHUNGA,1.69000,2.58000,0.94000,1.91000,2.09000,2.64000,14.08000,0.00000,0.00000,1.07000,0.88000,0.00000,0.00000,0.00000
2076,UDAYAPUR,1.76000,2.23000,0.98000,1.97000,2.42000,4.05000,13.56000,0.00000,0.00000,0.98000,0.87000,1.02000,0.00000,0.00000
2076,JHAPA,1.75000,3.90000,1.18000,1.28000,3.93000,4.26000,16.15000,0.00000,1.66980,1.34000,1.44000,1.01000,1.01000,0.00000
2076,MORANG,0.00000,3.88000,1.06000,1.22000,3.48000,4.14000,14.94000,0.00000,0.00000,1.10000,1.26000,0.98000,1.51700,0.00000
2076,SUNSARI,2.10000,2.71000,1.03000,1.17000,4.05000,3.98000,17.71000,0.00000,0.00000,1.19000,1.39000,0.87000,1.48000,0.00000
2076,SAPTARI,0.00000,2.85000,0.00000,1.27000,3.48000,3.52000,15.14000,0.00000,0.00000,1.13000,1.03000,0.69000,1.00000,0.00000
2076,SIRAHA,0.00000,2.33000,0.00000,1.00000,3.39000,3.43000,15.14000,0.00000,0.00000,1.10000,1.14000,0.95000,1.00000,0.00000
2076,DHANUSHA,1.50000,2.91000,0.00000,0.96000,3.22000,3.98000,14.79000,0.00000,0.00000,1.10000,1.16000,0.93000,0.00000,0.00000
2076,MAHOTTARI,1.00000,2.56000,0.00000,0.00000,2.97000,3.46000,14.64000,0.00000,0.00000,1.03000,1.09000,0.98000,0.00000,0.00000
2076,SARLAHI,1.11000,3.24000,0.00000,0.88000,3.30000,3.56000,15.78000,0.00000,0.00000,1.11000,1.32000,1.01000,0.00000,0.00000
2076,RAUTAHAT,1.38000,3.19000,0.00000,1.06000,3.59000,3.41000,14.39000,0.00000,0.00000,1.19000,1.14000,1.28000,0.00000,0.00000
2076,BARA,2.18000,3.64000,0.00000,1.08000,3.48000,4.06000,17.45000,0.00000,0.00000,1.24000,1.51000,1.15000,0.00000,0.00000
2076,PARSA,1.37000,3.85000,0.00000,0.00000,3.57000,4.11000,15.90000,0.00000,0.00000,1.10000,1.37000,0.93000,0.00000,0.00000
2076,DOLAKHA,1.19000,2.81000,1.16000,1.34000,1.95000,2.83000,17.05000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2076,SINDHUPALCHOK,1.16000,2.81000,0.00000,1.31000,1.16000,2.87000,15.23000,0.17900,0.00000,0.94000,1.17000,0.92000,0.00000,0.00000
2076,RASUWA,1.27000,2.40000,0.00000,1.07000,1.96000,3.25000,15.87000,0.26100,0.00000,0.57000,0.00000,0.00000,0.00000,0.00000
2076,RAMECHAP,1.28000,2.88000,1.03000,1.16000,2.26000,3.13000,14.12000,0.00000,0.00000,0.83000,0.56000,1.13000,0.00000,0.00000
2076,SINDHULI,1.57000,3.19000,0.95000,1.10000,3.07000,3.75000,18.17000,0.00000,0.00000,1.40000,1.03000,0.97000,0.00000,0.00000
2076,KAVRE,1.67000,3.11000,1.00000,1.16000,2.90000,3.84000,20.59000,0.15600,0.00000,1.12000,0.89000,1.03000,0.00000,0.00000
2076,BHAKTAPUR,2.08000,4.01000,0.00000,1.24000,5.12000,4.98000,21.71000,0.00000,0.00000,1.17000,0.93000,0.00000,0.00000,0.00000
2076,LALITPUR,1.34000,3.41000,1.01000,1.03000,3.41000,4.42000,20.00000,0.19100,0.22110,1.08000,0.93000,0.00000,0.00000,0.00000
2076,KATHMANDU,1.25000,3.84000,1.03000,1.05000,4.14000,4.38000,20.62000,0.00000,0.00000,0.00000,1.07000,0.00000,0.00000,0.00000
2076,NUWAKOT,1.29000,3.53000,1.04000,1.24000,3.40000,4.32000,16.00000,0.20700,0.53930,1.12000,0.89000,1.00000,0.00000,0.00000
2076,DHADING,1.36000,2.83000,0.00000,0.92000,2.65000,4.45000,14.30000,0.17300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
