Year,District,Barley_yield,Maize_yield,Buckwheat_yield,Millet_yield,Wheat_yield,Paddy_total_yield
2077,SURKHET,1.53,2.92,0,1.34,3.04,4.15
2077,BAJURA,1.01,1.6,1.54,1.02,1.4,2.5
2077,BAJHANG,0.79,1.4,1.19,0.8,1.53,3.41
2077,DARCHULA,0.83,2.31,1.03,0.93,2.16,2.76
2077,ACHHAM,1.27,2.71,0,1.03,2.13,2.1
2077,DOTI,0.99,2.51,0.96,1.19,2.23,2.8
2077,BAITADI,0.7,1.93,0,1.14,2.12,2.13
2077,DADELDHURA,1.37,3.54,0,1.26,2.45,3.78
2077,KAILALI,2.1,2.92,1.22,1.13,3.91,4.27
2077,KANCHANPUR,1.5,2.74,0,0,3.85,3.89
2079,TAPLEJUNG,1.51,3.42,1.32,1.42,1.87,3.02
2079,SANKHUWASABHA,1.34,2.66,1.26,1.3,2.31,2.78
2079,SOLUKHUMBU,1.19,2.84,1.05,1.34,1.99,2.73
2079,PANCHTHAR,1.44,2.3,1.07,1.66,1.66,2.9
2079,ILLAM,1.2,3.88,1.64,1.58,2.55,3.48
2079,TERHATHUM,1.33,3.01,1,1.18,2,2.79
2079,DHANKUTA,0,3.35,1.79,1.21,2.1,3.87
2079,BHOJPUR,1.5,2.64,1.08,1.26,1.8,2.56
2079,KHOTANG,1.53,2.74,1.18,1.4,1.85,2.61
2079,OKHALDHUNGA,1.43,3.2,1.06,1.86,1.55,2.49
2079,UDAYAPUR,1.48,3.1,1.07,1.86,2.5,3.88
2079,JHAPA,1.75,3.96,1.74,1.3,2.7,4.38
2079,MORANG,0,3.71,1.04,1.2,2.87,4.03
2079,SUNSARI,1.57,3.26,1.27,1.16,3.4,3.75
2079,SAPTARI,0,3.52,0,1.26,3.62,3.39
2079,SIRAHA,0,3.73,0,1.04,3.52,3.37
2079,DHANUSHA,1.5,3.26,0,1.02,3.34,3.21
2079,MAHOTTARI,1.18,3.05,0,0,3.26,3.76
2079,SARLAHI,1.12,3.51,0,0.9,3.36,3.46
2079,RAUTAHAT,1.57,3.65,0,1.04,3.31,3.2
2079,BARA,1.08,3.91,0,1.16,3.49,3.89
2079,PARSA,1.46,4.1,0,0,3.74,4.9
2079,DOLAKHA,1.21,3.59,1.1,1.33,1.77,2.47
2079,SINDHUPALCHOK,1.19,2.89,0.91,1.07,1.26,3.28
2079,RASUWA,1.38,2.5,0.9,1.15,1.62,2.83
2079,RAMECHAP,1.35,3.05,0.96,1.14,2.33,2.21
2079,SINDHULI,1.59,3.11,1.01,0.95,2.34,3.85
2079,KAVRE,1.74,3.4,1.09,1.29,3.24,3.5
2079,BHAKTAPUR,1.71,4.08,1.03,1.06,3.94,5.12
2079,LALITPUR,1.45,3.93,1.03,1.34,3.4,4.45
2079,KATHMANDU,1.51,4.31,0.98,1.69,3.49,4.45
2079,NUWAKOT,1.28,3.05,1.05,1.42,3.57,4.21
2079,DHADING,1.28,2.32,1.04,1.07,3.26,4.04
2079,MAKAWANPUR,1.33,3.24,1.08,1.26,3.3,3.77
2079,CHITWAN,1.87,3.75,1.07,1.15,4.51,3.82
2079,BAJURA,1.34,1.47,1.05,1.01,1.5,2.61
2079,BAJHANG,1.74,1.63,1.36,1.28,2.01,2.6
2079,DARCHULA,1.47,2.78,1.04,1.26,1.62,2.7
2079,ACHHAM,1.1,3.1,0.92,1.27,1.68,2.13
2079,DOTI,1.34,3.01,0.96,1.28,1.97,2.33
2079,BAITADI,1.21,2.95,1.18,1.15,1.57,2.31
2079,DADELDHURA,1.73,3,1.32,1.13,2.73,3.07
2079,KAILALI,1.14,3.47,1.26,1.13,3.58,2.51
2079,KANCHANPUR,1.74,3.55,0,0,3.25,2.72
2079,MANANG,1.58,1.98,1.88,0,2.35,0
2079,MUSTANG,1.94,1.48,1.42,0,1.69,0
2079,GORKHA,1.28,2.45,1.42,1.22,2.36,3.83
2079,LAMJUNG,1.75,2.5,0.95,1.22,2.61,3.18
2079,TANAHU,1.13,3.34,1.01,1.14,2.51,3.99
2079,KASKI,1,2.97,1.19,1.55,2.52,2.97
2079,PARBAT,1.31,2.59,1.32,1.11,2.44,3.95
2079,SYANGJA,1,3.38,1.08,1.23,2.88,3.81
2079,NAWALPARASI EAST,1.09,3.05,0.99,1.13,2.75,4.06
2079,MYAGDI,1.44,3.41,1.11,1.23,2.48,3.44
2079,BAGLUNG,1.33,3.41,1.43,1.26,2.51,3.45
2079,PALPA,1.01,2.58,0.92,1.4,2.35,3.81
2079,GULMI,0.83,3.04,1.87,1.3,2.97,3.04
2079,ARGHAKHANCHI,1.03,3.24,1.28,1.13,2.72,3.06
2079,NAWALPARASI WEST,1.23,3.45,1.28,1.04,2.92,3.69
2079,RUPANDEHI,1.96,3.91,0,1.14,3.95,3.9
2079,KAPILBASTU,1.87,3.34,0,0,3.73,3.19
2079,DANG,1.23,3.13,1.11,1.06,3.13,3.7
2079,BANKE,1.37,3.18,0,0,3.36,2.31
2079,BARDIYA,1.5,3.74,0,0,3.38,2.97
2079,RUKUM EAST,1.01,2.89,1.15,1.3,2.74,2.63
2079,PYUTHAN,1.07,2.93,1.27,1.32,2.87,3.08
2079,ROLPA,1.01,3.12,0.93,1.33,2.84,2.64
2079,DOLPA,1.03,1.27,0.87,1.11,1.43,1.76
2079,MUGU,1.21,2.1,0.94,1.17,1.04,1.1
2079,HUMLA,1.26,1.15,1.05,1.23,1.3,1.5
2079,JUMLA,1.54,1.6,1.17,1.39,2.25,1.53
2079,KALIKOT,1.19,2.81,1.15,1.34,1.56,2.23
2079,RUKUM WEST,1.46,3.83,1.25,1.36,2.37,2.62
2079,SALYAN,1.7,3.12,1.19,1.07,3.15,3.59
2079,JAJARKOT,1.32,3.3,1.25,1.3,2.5,3.51
2079,DAILEKH,1.15,2.99,1.01,1.12,2.47,3.02
2079,SURKHET,1.75,3.53,1.52,1.17,3.47,3.97
